Frame,Folder,Avg Intensity,Max Intensity
1,frames,0.6475368483430589,1.0
2,frames,0.6341251663683756,1.0
3,frames,0.6417598623111687,1.0
4,frames,0.6401752472327265,1.0
5,frames,0.6468866920213788,1.0
6,frames,0.6485456646958275,1.0
7,frames,0.6355643021872233,1.0
8,frames,0.6439555121316581,1.0
9,frames,0.6388600612093643,1.0
10,frames,0.6452688003482496,1.0
11,frames,0.6504639920503617,1.0
12,frames,0.6549285609303326,1.0
13,frames,0.6475553205116165,1.0
14,frames,0.6412294410713865,1.0
15,frames,0.6512377297289884,1.0
16,frames,0.6384317086096262,1.0
17,frames,0.6324162088655002,1.0
18,frames,0.6438883168632468,1.0
19,frames,0.6473042147610379,1.0
20,frames,0.6538812613582693,1.0
21,frames,0.6469712672740339,1.0
22,frames,0.6431001300671778,1.0
23,frames,0.6380544535971339,1.0
24,frames,0.6448282277660623,1.0
25,frames,0.6387954225754183,1.0
26,frames,0.6507895837921952,1.0
27,frames,0.6378079049474717,1.0
28,frames,0.6552868048937364,1.0
29,frames,0.6636643960224058,1.0
30,frames,0.6614542414513681,1.0
31,frames,0.6583449170845208,1.0
32,frames,0.6370964892059185,1.0
33,frames,0.6414055844657306,1.0
34,frames,0.6401893008864581,1.0
35,frames,0.642871022702485,1.0
36,frames,0.6343777328475043,1.0
37,frames,0.6521739376384094,1.0
38,frames,0.6598077699909489,1.0
39,frames,0.6463416597744934,1.0
40,frames,0.6244565073330945,1.0
41,frames,0.6487756764096609,1.0
42,frames,0.6410971209002156,1.0
43,frames,0.6402619956327181,1.0
44,frames,0.6218442055219763,1.0
45,frames,0.6311997476233225,1.0
46,frames,0.6622760429402832,1.0
47,frames,0.6164928850936121,1.0
48,frames,0.6515758725715493,1.0
49,frames,0.6358128325896318,1.0
50,frames,0.6383434850546521,1.0
51,frames,0.6567871714700421,1.0
52,frames,0.6156920116684982,1.0
53,frames,0.6422613927592691,1.0
54,frames,0.644707113830845,1.0
55,frames,0.6388581037267382,1.0
56,frames,0.6598807304463258,1.0
57,frames,0.6354745018062001,1.0
58,frames,0.6572622657761005,1.0
59,frames,0.6730970067872278,1.0
60,frames,0.6584991336919762,1.0
61,frames,0.6247763919991784,1.0
62,frames,0.6315321089581059,1.0
63,frames,0.6540436987791415,1.0
64,frames,0.6528614071236212,1.0
65,frames,0.6942868424768656,1.0
66,frames,0.6578248262737687,1.0
67,frames,0.64958218278863,1.0
68,frames,0.6571887027141065,1.0
69,frames,0.6645799582200255,1.0
70,frames,0.6311694692863723,1.0
71,frames,0.7197876057598079,1.0
72,frames,0.6662549906059073,1.0
73,frames,0.6522667601701881,1.0
74,frames,0.6579995033470198,1.0
75,frames,0.7004301090650396,1.0
76,frames,0.6942241488613307,1.0
77,frames,0.6416300416894719,1.0
78,frames,0.6467370710187105,1.0
79,frames,0.6840395263384335,1.0
80,frames,0.6720695700140845,1.0
81,frames,0.6589621458292245,1.0
82,frames,0.6573822013884282,1.0
83,frames,0.6961758790575653,1.0
84,frames,0.7143979728989219,1.0
85,frames,0.6839001665184179,1.0
86,frames,0.6689945059922939,1.0
87,frames,0.6448818337126528,1.0
88,frames,0.6858732507653386,1.0
89,frames,0.7046421021682161,1.0
