Frame,Folder,Avg Intensity,Max Intensity,Predicted Max Intensity,Balance Index,Predicted Balance Index,GBR_Predictions,MLP_Predictions
65,frames,0.6942868424768656,1.0,1.0,0.6903911959703096,0.6445003238955511,0.6903843228977451,-4899.421753309471
71,frames,0.7197876057598079,1.0,1.0,0.7157488743590557,0.6608009193909226,0.7156774899099154,-6436.582679103538
75,frames,0.7004301090650396,1.0,1.0,0.6964999926628167,0.6712569968236138,0.6966272429540152,-7639.426269291664
76,frames,0.6942241488613307,1.0,1.0,0.6903288541289254,0.6738202005652972,0.6903427490667463,-7962.590766563462
79,frames,0.6840395263384335,1.0,1.0,0.6802013775675019,0.6813888276850946,0.6802608513325941,-8981.528490714418
83,frames,0.6961758790575653,1.0,1.0,0.6922696331585015,0.6912003054726517,0.6921198015709821,-10453.80720333774
84,frames,0.7143979728989219,1.0,1.0,0.7103894827517,0.6936035760209536,0.710439768959335,-10835.48001235838
88,frames,0.6858732507653386,1.0,1.0,0.6820248129586359,0.7030200876966659,0.6820409305357981,-12527.874150679916
89,frames,0.7046421021682161,1.0,1.0,0.7006883522542886,0.7053253771656954,0.7008243339691755,-12957.76436745776
92,frames,0.7620004494492822,1.0,1.0,0.7577248615981556,0.7121250066673497,0.7577065051621582,-14305.384043913538
94,frames,0.6897706588097277,1.0,1.0,0.6859003526294597,0.7165618356062082,0.6858213626900251,-15344.419001152695
96,frames,0.6855921995445646,1.0,1.0,0.6817453387174897,0.7209222264302922,0.6817863494962347,-16374.032614192956
97,frames,0.6951480874786568,1.0,1.0,0.6912476085226329,0.7230739096390316,0.6910812654913143,-16895.46782259448
98,frames,0.6928074413544555,1.0,1.0,0.688920095774061,0.7252066658267627,0.6888887415859706,-17438.48163150644
99,frames,0.711368822180651,1.0,1.0,0.707377328611344,0.7273205558293805,0.7073707996623627,-17973.939545830322
100,frames,0.6841705078614633,1.0,1.0,0.6803316241526337,0.7294156404827803,0.6803531123852488,-18562.81763845592
326,frames1,0.7118369773762703,1.0,1.0,0.7078428569861152,0.8391268768075857,0.7078443312869597,-673905.9198124825
332,frames1,0.6881017163175096,1.0,1.0,0.6842407745808573,0.8354575620953202,0.6842405174762429,-712316.7237098722
