Frame,Folder,Avg Intensity,Max Intensity,Predicted Max Intensity,Balance Index,Predicted Balance Index
65,frames,0.6942868424768656,1.0,1.0,0.6903911959703096,0.6481370235484335
71,frames,0.7197876057598079,1.0,1.0,0.7157488743590557,0.6645295978498513
75,frames,0.7004301090650396,1.0,1.0,0.6964999926628167,0.6750446754287951
76,frames,0.6942241488613307,1.0,1.0,0.6903288541289254,0.6776223424715214
79,frames,0.6840395263384335,1.0,1.0,0.6802013775675019,0.685233676821625
83,frames,0.6961758790575653,1.0,1.0,0.6922696331585015,0.6951005174953306
84,frames,0.7143979728989219,1.0,1.0,0.7103894827517,0.6975173488951816
88,frames,0.6858732507653386,1.0,1.0,0.6820248129586359,0.7069869947954354
89,frames,0.7046421021682161,1.0,1.0,0.7006883522542886,0.7093052922415699
92,frames,0.7620004494492822,1.0,1.0,0.7577248615981556,0.7161432897772908
94,frames,0.6897706588097277,1.0,1.0,0.6859003526294597,0.7206051542572534
96,frames,0.6855921995445646,1.0,1.0,0.6817453387174897,0.7249901493077372
97,frames,0.6951480874786568,1.0,1.0,0.6912476085226329,0.727153973744854
98,frames,0.6928074413544555,1.0,1.0,0.688920095774061,0.7292987643621162
99,frames,0.711368822180651,1.0,1.0,0.707377328611344,0.7314245823386956
100,frames,0.6841705078614633,1.0,1.0,0.6803316241526337,0.7335314888537638
326,frames1,0.7118369773762703,1.0,1.0,0.7078428569861152,0.843861788982742
332,frames1,0.6881017163175096,1.0,1.0,0.6842407745808573,0.8401717695558195
347,frames1,0.7591333837270157,1.0,1.0,0.7548738829941831,0.8302421956129069
355,frames1,0.8921728254229849,1.0,1.0,0.8871668398015319,0.8245892992371657
356,frames1,0.892264435500518,1.0,1.0,0.8872579358545197,0.8238674216379032
359,frames1,0.7028569898857079,1.0,1.0,0.698913256244597,0.8216829030705093
362,frames1,0.8892076755575674,1.0,1.0,0.8842183274049643,0.8194713406113128
364,frames1,0.8900545257556064,1.0,1.0,0.8850604259228421,0.8179827569764693
366,frames1,0.695451863163919,1.0,1.0,0.691549679721198,0.8164833774175924
368,frames1,0.892269657202914,1.0,1.0,0.8872631282579206,0.8149736913680552
372,frames1,0.8869418073583775,1.0,1.0,0.8819651730021398,0.8119253575304957
376,frames1,0.8700663256817804,1.0,1.0,0.8651843797269612,0.8088416709307797
378,frames1,0.8844670369469656,1.0,1.0,0.879504288538319,0.8072877939285474
380,frames1,0.8857294455740443,1.0,1.0,0.8807596137850755,0.8057265470358963
381,frames1,0.6892093129116896,1.0,1.0,0.6853421564457082,0.8049433128285939
382,frames1,0.7130835921256549,1.0,1.0,0.7090824769746944,0.8041584196862019
383,frames1,0.7118081831514101,1.0,1.0,0.7078142243257766,0.803371928787892
384,frames1,0.8575786860808648,1.0,1.0,0.8527668083264062,0.8025839013128362
386,frames1,0.8863030652189113,1.0,1.0,0.881330014847609,0.8010034813491735
387,frames1,0.8891270452702265,1.0,1.0,0.8841381495345179,0.8002112112189099
388,frames1,0.7160277947702831,1.0,1.0,0.71201015968542,0.7994176492285874
391,frames1,0.8856577803147733,1.0,1.0,0.8806883506398874,0.7970298238889815
392,frames1,0.8833407375367488,1.0,1.0,0.8783843087990139,0.7962317062501394
395,frames1,0.87701898449886,1.0,1.0,0.872098027145041,0.7938316822650957
396,frames1,0.8877316794012711,1.0,1.0,0.8827506130695497,0.7930299878444815
397,frames1,0.868563132116216,1.0,1.0,0.8636896205870608,0.7922275521763533
398,frames1,0.8570726082551305,1.0,1.0,0.8522635701055632,0.7914244364398832
399,frames1,0.8734080626231282,1.0,1.0,0.8685073661677305,0.7906207018142426
