Frame,Avg Intensity,Max Intensity,Quantum Coherence,Quantum Coherence Variance
38,0.6610553778210206,1.0,-0.0009815086153126,0.07780135021582167
69,0.6658206463990349,1.0,-0.1393642574744811,0.09707524229790973
71,0.7211032480646847,1.0,0.0562521837862292,0.0989091879006182
85,0.6851464790258543,1.0,-0.072972083652495,0.10532313430226857
86,0.6702336172567911,1.0,-0.072972083652495,0.10133395307564406
340,0.6743876005559907,1.0,-0.1629798822681823,0.08969994525477873
342,0.6666579110365658,1.0,0.0236275804089442,0.10233507350920318
346,0.6623348580970303,1.0,-0.1187507812521108,0.10237458791823145
347,0.7605121439125232,1.0,0.0258840853372733,0.10946559303550304
416,0.6696969939919716,1.0,-0.0063174231847503,0.11210259144761443
461,0.6654290511753559,1.0,-0.0471163089518613,0.10058775496569847
475,0.6898165236451442,1.0,-0.1256770318786727,0.09510506649824951
