Frame,Avg Intensity,Max Intensity,Quantum Coherence
1,0.6487740872858624,1.0,0.1499554938721147
2,0.6353862961313776,1.0,0.08281645464460835
3,0.6430052627258462,1.0,-0.1995032646533021
4,0.6414214924509223,1.0,-0.04338719671388952
5,0.6481258420065021,1.0,-0.3257069160117999
6,0.6497851179914651,1.0,0.1499554938721147
7,0.6368244457258538,1.0,0.1499554938721147
8,0.64518612988624,1.0,0.02692778547509192
9,0.6401004039677369,1.0,0.15313143683358985
10,0.6464998529366335,1.0,0.1531314368335898
11,0.6516996883893842,1.0,0.15313143683358985
12,0.6561658445323529,1.0,0.1499554938721147
13,0.648791003825034,1.0,0.1499554938721147
14,0.6424667804974279,1.0,0.1499554938721147
15,0.6524769522853391,1.0,0.1499554938721147
16,0.6396739344983081,1.0,0.15313143683358985
17,0.6336706955700002,1.0,0.1531314368335898
18,0.6451196496246259,1.0,0.02692778547509192
19,0.648532784233376,1.0,0.026927785475091948
20,0.6551211296124632,1.0,0.08281645464460835
21,0.648205130724366,1.0,0.08281645464460835
22,0.6443519204714622,1.0,0.08281645464460835
23,0.6392935924174531,1.0,0.1531314368335898
24,0.6460561738701658,1.0,-0.19950326465330206
25,0.6400309123655631,1.0,-0.20267920761477717
26,0.6520279373546185,1.0,0.1531314368335898
27,0.6390463422459266,1.0,-0.19950326465330206
28,0.6565326818724028,1.0,-0.04338719671388952
29,0.6649263387563048,1.0,0.1531314368335898
30,0.6627153788324983,1.0,0.1531314368335898
31,0.6595987424632404,1.0,-0.1995032646533021
32,0.6383337393135262,1.0,0.15313143683358985
33,0.6426331398016868,1.0,0.026927785475091948
34,0.6414160813881233,1.0,0.1499554938721147
35,0.6440957645077815,1.0,0.1531314368335898
36,0.6356120633588125,1.0,-0.04338719671388952
37,0.6534015301903795,1.0,0.15313143683358985
38,0.6610553778210202,1.0,0.15313143683358985
39,0.6475672742953187,1.0,-0.20267920761477717
40,0.6257071514841472,1.0,0.1531314368335898
41,0.6500006508150451,1.0,0.02692778547509192
42,0.6423334439038599,1.0,0.08281645464460835
43,0.6414880901643332,1.0,0.026927785475091948
44,0.6231014517939156,1.0,-0.19950326465330206
45,0.6324443292856916,1.0,-0.3257069160117999
46,0.663528099922014,1.0,0.08281645464460835
